call_number,timestamp_ns,timestamp_cycles,delta_ns,delta_cycles,violation
251,46225395930736,115412879137584,160,398,0
252,46225395930892,115412879137974,156,390,0
253,46225395931196,115412879138858,304,884,0
254,46225395931470,115412879139425,274,567,0
255,46225395931698,115412879139987,228,562,0
256,46225395931947,115412879140621,249,634,0
257,46225395932227,115412879141314,280,693,0
258,46225395932468,115412879141915,241,601,0
259,46225395932705,115412879142506,237,591,0
260,46225395932956,115412879143134,251,628,0
261,46225395933189,115412879143713,233,579,0
262,46225395933414,115412879144273,225,560,0
263,46225395933655,115412879144880,241,607,0
264,46225395933905,115412879145500,250,620,0
265,46225395934104,115412879145994,199,494,0
266,46225395934345,115412879146599,241,605,0
267,46225395934556,115412879147123,211,524,0
268,46225395934794,115412879147718,238,595,0
269,46225395935003,115412879148248,209,530,0
270,46225395935219,115412879148780,216,532,0
271,46225395935435,115412879149321,216,541,0
272,46225395935660,115412879149879,225,558,0
273,46225395935917,115412879150525,257,646,0
274,46225395936156,115412879151116,239,591,0
275,46225395939413,115412879159280,3257,8164,0
276,46225395939698,115412879159954,285,674,0
277,46225395939918,115412879160509,220,555,0
278,46225395940148,115412879161082,230,573,0
279,46225395940407,115412879161732,259,650,0
280,46225395940665,115412879162384,258,652,0
281,46225395940913,115412879162993,248,609,0
282,46225395941137,115412879163556,224,563,0
283,46225395941342,115412879164068,205,512,0
284,46225395941591,115412879164687,249,619,0
285,46225395941815,115412879165248,224,561,0
286,46225395942044,115412879165817,229,569,0
287,46225395942306,115412879166471,262,654,0
288,46225395942541,115412879167064,235,593,0
289,46225395942758,115412879167594,217,530,0
290,46225395942964,115412879168114,206,520,0
291,46225395943172,115412879168632,208,518,0
292,46225395943366,115412879169111,194,479,0
293,46225395943565,115412879169611,199,500,0
294,46225395943771,115412879170125,206,514,0
295,46225395943982,115412879170657,211,532,0
296,46225395944210,115412879171226,228,569,0
297,46225395944443,115412879171801,233,575,0
298,46225395944686,115412879172414,243,613,0
299,46225395944948,115412879173064,262,650,0
300,46225395945177,115412879173639,229,575,0
301,46225395945444,115412879174303,267,664,0
302,46225395945671,115412879174870,227,567,0
303,46225395945930,115412879175516,259,646,0
304,46225395946166,115412879176107,236,591,0
305,46225395946399,115412879176692,233,585,0
306,46225395946643,115412879177293,244,601,0
307,46225395946868,115412879177864,225,571,0
308,46225395947102,115412879178451,234,587,0
309,46225395947343,115412879179054,241,603,0
310,46225395947573,115412879179621,230,567,0
311,46225395947809,115412879180208,236,587,0
312,46225395948019,115412879180738,210,530,0
313,46225395948213,115412879181211,194,473,0
314,46225395948424,115412879181746,211,535,0
315,46225395948656,115412879182320,232,574,0
316,46225395948854,115412879182814,198,494,0
317,46225395949059,115412879183330,205,516,0
318,46225395949274,115412879183856,215,526,0
319,46225395949467,115412879184348,193,492,0
320,46225395949684,115412879184890,217,542,0
321,46225395949901,115412879185430,217,540,0
322,46225395950113,115412879185958,212,528,0
323,46225395950317,115412879186468,204,510,0
324,46225395950515,115412879186966,198,498,0
325,46225395950731,115412879187504,216,538,0
326,46225395950963,115412879188087,232,583,0
327,46225395951267,115412879188859,304,772,0
328,46225395951551,115412879189556,284,697,0
329,46225395951790,115412879190147,239,591,0
330,46225395952048,115412879190797,258,650,0
331,46225395952285,115412879191382,237,585,0
332,46225395952550,115412879192044,265,662,0
333,46225395952811,115412879192714,261,670,0
334,46225395953048,115412879193289,237,575,0
335,46225395953317,115412879193958,269,669,0
336,46225395953540,115412879194522,223,564,0
337,46225395953749,115412879195032,209,510,0
338,46225395953933,115412879195493,184,461,0
339,46225395954124,115412879195968,191,475,0
340,46225395954376,115412879196606,252,638,0
341,46225395954611,115412879197191,235,585,0
342,46225395954876,115412879197849,265,658,0
343,46225395955076,115412879198351,200,502,0
344,46225395955280,115412879198859,204,508,0
345,46225395955514,115412879199442,234,583,0
346,46225395955764,115412879200076,250,634,0
347,46225395956021,115412879200709,257,633,0
348,46225395956259,115412879201313,238,604,0
349,46225395956483,115412879201859,224,546,0
350,46225395956713,115412879202434,230,575,0
351,46225395956951,115412879203023,238,589,0
352,46225395957170,115412879203598,219,575,0
353,46225395957461,115412879204313,291,715,0
354,46225395957694,115412879204878,233,565,0
355,46225395957895,115412879205381,201,503,0
356,46225395958112,115412879205922,217,541,0
357,46225395958336,115412879206486,224,564,0
358,46225395958573,115412879207081,237,595,0
359,46225395958811,115412879207670,238,589,0
360,46225395959032,115412879208235,221,565,0
361,46225395959271,115412879208820,239,585,0
362,46225395959474,115412879209326,203,506,0
363,46225395959693,115412879209872,219,546,0
364,46225395959922,115412879210457,229,585,0
365,46225395960170,115412879211061,248,604,0
366,46225395962458,115412879216787,2288,5726,0
367,46225395962851,115412879217766,393,979,0
368,46225395963188,115412879218611,337,845,0
369,46225395963448,115412879219247,260,636,0
370,46225395963699,115412879219870,251,623,0
371,46225395963956,115412879220514,257,644,0
372,46225395964198,115412879221115,242,601,0
373,46225395964435,115412879221708,237,593,0
374,46225395964702,115412879222377,267,669,0
375,46225395964924,115412879222927,222,550,0
376,46225395965287,115412879223833,363,906,0
377,46225395965473,115412879224296,186,463,0
378,46225395965661,115412879224765,188,469,0
379,46225395965858,115412879225259,197,494,0
380,46225395966055,115412879225757,197,498,0
381,46225395966252,115412879226244,197,487,0
382,46225395966433,115412879226701,181,457,0
383,46225395966643,115412879227221,210,520,0
384,46225395966861,115412879227764,218,543,0
385,46225395967094,115412879228357,233,593,0
386,46225395967348,115412879228990,254,633,0
387,46225395967612,115412879229636,264,646,0
388,46225395967868,115412879230284,256,648,0
389,46225395968111,115412879230888,243,604,0
390,46225395968373,115412879231542,262,654,0
391,46225395968620,115412879232157,247,615,0
392,46225395968865,115412879232769,245,612,0
393,46225395969073,115412879233287,208,518,0
394,46225395969308,115412879233874,235,587,0
395,46225395969500,115412879234347,192,473,0
396,46225395969677,115412879234804,177,457,0
397,46225395969920,115412879235405,243,601,0
398,46225395970162,115412879236197,242,792,0
399,46225395970510,115412879236868,348,671,0
400,46225395970678,115412879237288,168,420,0
401,46225395970834,115412879237676,156,388,0
402,46225395970991,115412879238068,157,392,0
403,46225395971149,115412879238464,158,396,0
404,46225395971307,115412879238860,158,396,0
405,46225395971464,115412879239254,157,394,0
406,46225395971623,115412879239648,159,394,0
407,46225395971782,115412879240045,159,397,0
408,46225395971940,115412879240439,158,394,0
409,46225395972098,115412879240833,158,394,0
410,46225395972257,115412879241231,159,398,0
411,46225395972413,115412879241623,156,392,0
412,46225395972569,115412879242009,156,386,0
413,46225395972726,115412879242401,157,392,0
414,46225395972882,115412879242791,156,390,0
415,46225395973038,115412879243181,156,390,0
416,46225395973195,115412879243571,157,390,0
417,46225395973350,115412879243959,155,388,0
418,46225395973506,115412879244349,156,390,0
419,46225395973662,115412879244737,156,388,0
420,46225395973819,115412879245129,157,392,0
421,46225395973975,115412879245519,156,390,0
422,46225395974130,115412879245907,155,388,0
423,46225395974288,115412879246297,158,390,0
424,46225395974442,115412879246687,154,390,0
425,46225395974598,115412879247075,156,388,0
426,46225395974754,115412879247463,156,388,0
427,46225395974912,115412879247859,158,396,0
428,46225395975068,115412879248247,156,388,0
429,46225395975223,115412879248633,155,386,0
430,46225395975379,115412879249023,156,390,0
431,46225395975533,115412879249409,154,386,0
432,46225395975689,115412879249797,156,388,0
433,46225395975844,115412879250185,155,388,0
434,46225395975999,115412879250573,155,388,0
435,46225395976156,115412879250963,157,390,0
436,46225395976311,115412879251348,155,385,0
437,46225395976467,115412879251738,156,390,0
438,46225395976623,115412879252128,156,390,0
439,46225395976778,115412879252516,155,388,0
440,46225395976933,115412879252904,155,388,0
