measurement_id,time_diff_ns,cycles_diff,zero_diff
1069,39,95,0
1070,38,97,0
1071,39,97,0
1072,40,98,0
1073,39,98,0
1074,40,98,0
1075,39,98,0
1076,40,98,0
1077,39,96,0
1078,39,98,0
1079,39,98,0
1080,39,98,0
1081,39,98,0
1082,39,98,0
1083,39,100,0
1084,39,99,0
1085,38,97,0
1086,39,97,0
1087,41,97,0
1088,39,99,0
1089,39,101,0
1090,41,100,0
1091,40,96,0
1092,39,98,0
1093,40,98,0
1094,39,98,0
1095,40,98,0
1096,39,100,0
1097,40,99,0
1098,41,97,0
1099,40,101,0
1100,40,98,0
1101,38,100,0
1102,39,97,0
1103,40,99,0
1104,40,97,0
1105,40,101,0
1106,39,98,0
1107,40,96,0
1108,39,98,0
1109,39,96,0
1110,40,96,0
1111,40,102,0
1112,40,100,0
1113,40,97,0
1114,39,101,0
1115,39,98,0
1116,40,100,0
1117,40,100,0
1118,40,99,0
1119,39,101,0
1120,39,98,0
1121,40,98,0
1122,38,100,0
1123,39,99,0
1124,39,99,0
1125,39,96,0
1126,40,100,0
1127,39,100,0
1128,39,99,0
1129,40,99,0
1130,38,98,0
1131,40,100,0
1132,40,98,0
1133,39,98,0
1134,39,97,0
1135,39,97,0
1136,40,99,0
1137,40,99,0
1138,39,101,0
1139,39,98,0
1140,39,98,0
1141,39,96,0
1142,39,98,0
1143,39,98,0
1144,39,98,0
1145,39,95,0
1146,39,98,0
1147,40,98,0
1148,40,100,0
1149,39,96,0
1150,38,100,0
1151,38,99,0
1152,40,97,0
1153,39,101,0
1154,39,100,0
1155,39,97,0
1156,40,97,0
1157,39,99,0
1158,40,101,0
1159,40,97,0
1160,39,101,0
1161,40,99,0
1162,40,99,0
1163,40,96,0
1164,40,100,0
1165,39,97,0
1166,40,101,0
1167,40,99,0
1168,39,101,0
1169,39,99,0
1170,40,99,0
1171,39,98,0
1172,39,98,0
1173,39,97,0
1174,40,97,0
1175,39,97,0
1176,39,97,0
1177,38,99,0
1178,40,101,0
1179,41,97,0
1180,40,99,0
1181,40,97,0
1182,39,99,0
1183,41,99,0
1184,38,99,0
1185,39,97,0
1186,39,97,0
1187,38,99,0
1188,39,97,0
1189,41,97,0
1190,39,101,0
1191,39,98,0
1192,40,96,0
1193,39,98,0
1194,39,100,0
1195,39,99,0
1196,40,99,0
1197,39,101,0
1198,38,97,0
1199,40,97,0
1200,39,100,0
1201,39,98,0
1202,39,94,0
1203,40,96,0
1204,40,100,0
1205,40,97,0
1206,40,99,0
1207,39,97,0
1208,40,99,0
1209,40,95,0
1210,40,95,0
1211,39,97,0
1212,39,99,0
1213,40,99,0
1214,39,101,0
1215,40,98,0
1216,39,100,0
1217,39,99,0
1218,40,99,0
1219,40,99,0
1220,39,97,0
1221,41,99,0
1222,40,97,0
1223,40,99,0
1224,40,99,0
1225,39,99,0
1226,39,97,0
1227,40,99,0
1228,38,99,0
1229,38,99,0
1230,40,97,0
1231,39,99,0
1232,39,99,0
1233,39,97,0
1234,40,97,0
1235,39,101,0
1236,40,100,0
1237,39,99,0
1238,40,99,0
1239,40,99,0
1240,39,97,0
1241,39,99,0
1242,40,99,0
1243,40,97,0
1244,40,101,0
1245,40,98,0
1246,39,98,0
1247,41,100,0
1248,39,98,0
1249,40,98,0
1250,39,98,0
1251,40,98,0
1252,40,98,0
1253,40,100,0
1254,40,99,0
1255,39,97,0
1256,40,99,0
1257,41,97,0
1258,40,99,0
1259,40,99,0
1260,39,99,0
1261,39,97,0
1262,40,99,0
1263,39,99,0
1264,40,95,0
1265,39,99,0
1266,40,97,0
1267,39,99,0
1268,39,101,0
1269,39,100,0
1270,39,99,0
1271,39,101,0
1272,40,97,0
1273,38,98,0
1274,40,98,0
1275,40,98,0
1276,40,97,0
1277,40,95,0
1278,39,99,0
1279,39,99,0
1280,40,100,0
1281,39,98,0
1282,40,100,0
1283,40,99,0
1284,39,97,0
1285,38,99,0
1286,39,97,0
1287,39,97,0
1288,39,101,0
1289,39,97,0
1290,39,99,0
1291,38,99,0
1292,40,100,0
1293,39,98,0
1294,39,98,0
1295,40,98,0
1296,40,98,0
1297,39,98,0
1298,40,98,0
1299,40,98,0
1300,39,96,0
1301,40,100,0
1302,39,99,0
1303,39,97,0
1304,40,97,0
1305,40,99,0
1306,41,99,0
1307,39,101,0
1308,39,98,0
1309,39,98,0
1310,40,100,0
1311,40,98,0
1312,39,96,0
1313,40,98,0
1314,38,100,0
1315,40,97,0
1316,40,95,0
1317,39,99,0
1318,39,101,0
1319,39,98,0
1320,39,98,0
1321,65,101,0
1322,38,96,0
1323,39,98,0
1324,39,99,0
1325,39,97,0
1326,39,98,0
1327,39,98,0
1328,39,99,0
1329,40,99,0
1330,39,98,0
1331,40,96,0
1332,40,99,0
1333,39,101,0
1334,39,98,0
1335,40,98,0
1336,39,98,0
1337,40,98,0
1338,40,100,0
1339,41,97,0
1340,39,99,0
1341,38,98,0
1342,40,100,0
1343,40,99,0
1344,39,99,0
1345,40,97,0
1346,39,97,0
1347,39,100,0
1348,40,100,0
1349,40,97,0
1350,39,98,0
1351,39,98,0
1352,38,98,0
1353,39,98,0
1354,40,100,0
1355,39,97,0
1356,39,101,0
1357,40,98,0
1358,39,98,0
1359,40,97,0
1360,40,99,0
1361,40,99,0
1362,40,97,0
1363,40,99,0
1364,39,100,0
1365,39,97,0
1366,39,97,0
1367,39,99,0
1368,39,99,0
1369,40,97,0
1370,39,97,0
1371,41,98,0
1372,39,98,0
1373,40,98,0
1374,39,98,0
1375,40,98,0
1376,39,100,0
1377,39,99,0
1378,39,101,0
1379,40,98,0
1380,39,96,0
1381,39,100,0
1382,40,97,0
1383,40,95,0
1384,40,97,0
1385,39,97,0
1386,41,97,0
1387,39,100,0
1388,40,98,0
1389,39,97,0
1390,40,99,0
1391,40,99,0
1392,39,101,0
1393,39,98,0
1394,39,96,0
1395,39,96,0
1396,40,98,0
1397,40,100,0
1398,39,101,0
1399,38,98,0
1400,39,98,0
1401,39,98,0
1402,39,98,0
1403,40,98,0
1404,38,100,0
1405,40,101,0
1406,39,99,0
1407,39,100,0
1408,40,96,0
1409,39,98,0
1410,39,100,0
1411,38,99,0
1412,38,99,0
1413,39,99,0
1414,40,95,0
1415,39,99,0
1416,39,99,0
1417,40,99,0
1418,39,98,0
1419,39,100,0
1420,39,98,0
1421,39,99,0
1422,39,97,0
1423,40,99,0
1424,39,99,0
1425,39,101,0
1426,41,98,0
1427,40,96,0
1428,40,100,0
1429,40,98,0
1430,39,98,0
1431,40,98,0
1432,39,100,0
1433,40,101,0
1434,39,96,0
1435,39,98,0
1436,40,96,0
1437,38,98,0
1438,40,98,0
1439,38,100,0
1440,38,99,0
1441,39,99,0
1442,41,99,0
1443,40,97,0
1444,39,101,0
1445,40,98,0
1446,39,98,0
1447,40,100,0
1448,39,97,0
1449,40,101,0
1450,40,100,0
1451,39,97,0
1452,40,101,0
1453,40,100,0
1454,38,100,0
1455,39,99,0
1456,40,99,0
1457,38,98,0
1458,39,100,0
1459,39,99,0
1460,39,99,0
1461,39,98,0
1462,39,100,0
1463,39,98,0
1464,39,98,0
1465,39,97,0
1466,40,95,0
1467,39,99,0
1468,40,99,0
1469,39,99,0
1470,39,100,0
1471,40,96,0
1472,38,98,0
1473,40,100,0
1474,39,99,0
1475,39,99,0
1476,40,95,0
1477,39,97,0
1478,39,99,0
1479,39,101,0
1480,40,100,0
1481,39,99,0
1482,41,97,0
1483,39,101,0
1484,39,98,0
1485,40,97,0
1486,38,101,0
1487,40,96,0
1488,40,96,0
1489,39,96,0
1490,40,100,0
1491,39,100,0
1492,39,97,0
1493,39,97,0
1494,40,97,0
1495,39,98,0
1496,39,100,0
1497,40,99,0
1498,39,101,0
1499,39,99,0
1500,40,98,0
1501,39,100,0
1502,39,98,0
1503,39,98,0
1504,39,96,0
1505,40,96,0
